timestamp,valence,arousal,stress_score,dominant_zone,pitch,jitter,shimmer
2026-03-15T11:36:29.775628,-0.1309,0.5475,0.4392,anxiety,0.00,0.0000,0.0000
2026-03-15T11:36:29.837011,-0.2140,0.5034,0.4587,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:29.907585,-0.1196,-0.1302,0.0947,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:29.970253,-0.4602,0.3091,0.4846,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:30.035026,-0.1187,0.4964,0.4076,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.092283,-0.4331,0.2767,0.4549,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.147227,-0.3871,0.2800,0.4336,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.217023,0.2134,0.4895,0.2380,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.218721,-0.2647,0.1857,0.3252,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.284275,-0.7623,0.3305,0.6464,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:30.327219,-0.0388,0.3609,0.2999,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.372092,-0.1379,0.3058,0.3219,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.426306,-0.4889,0.2101,0.4495,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.464556,-0.3400,0.2107,0.3753,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.499433,-0.2141,0.3961,0.4051,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:30.540189,-0.2237,0.1605,0.2921,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.578084,-0.4894,0.1118,0.4006,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.609607,-0.3328,-0.0790,0.2269,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.704746,-0.6477,0.3321,0.5899,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:30.786930,-0.3834,0.3834,0.4834,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:30.831232,-0.4159,0.1752,0.3956,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:30.877604,-0.4312,-0.1699,0.2307,sadness,0.00,0.0000,0.0000
2026-03-15T11:36:30.937042,-0.2322,0.3107,0.3714,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:30.987444,-0.3609,0.1717,0.3663,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.026050,-0.4711,0.0504,0.3608,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.059141,-0.2443,0.1944,0.3194,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.090855,-0.1304,0.3594,0.3449,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.122613,-0.2125,0.2930,0.3527,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.156027,-0.1387,0.1360,0.2373,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.190264,-0.6106,0.2970,0.5538,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.229050,-0.1639,0.0935,0.2287,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.263540,-0.3755,0.3212,0.4483,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:31.305723,-0.2690,0.1947,0.3318,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.354992,-0.3727,0.2026,0.3877,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.422420,-0.1173,0.2821,0.2997,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.474849,-0.1527,0.1714,0.2620,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.536903,-0.1487,0.0430,0.1959,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.588362,-0.1507,0.3049,0.3278,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.638727,0.0516,0.0221,0.0853,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.672962,-0.3444,0.3946,0.4695,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:31.715813,-0.4765,0.2202,0.4483,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.751982,-0.2494,0.3636,0.4065,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:31.790393,-0.1286,0.1784,0.2535,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.829750,0.0257,0.2109,0.1926,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.855457,-0.3044,0.6129,0.5587,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:31.885702,-0.2081,0.3565,0.3823,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:31.919292,-0.1983,0.1144,0.2563,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.948792,-0.1447,0.2206,0.2827,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:31.982666,-0.1945,-0.1825,0.1060,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.016188,-0.3522,0.1907,0.3715,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.051571,-0.3692,0.0956,0.3324,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.099676,-0.2806,0.2748,0.3777,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.189320,-0.3101,-0.0620,0.2241,neutral,0.00,0.0000,0.0000
